     1	-6.403981699999999933e+01 -6.403981699999999933e+01 -6.403958400000000495e+01 -6.403958400000000495e+01 -3.792043100000000067e+01 -3.792043100000000067e+01 -3.791931399999999996e+01 -3.791931399999999996e+01 -3.791507299999999958e+01 -3.791507299999999958e+01 -3.791291199999999861e+01 -3.791291199999999861e+01 -3.791277399999999886e+01 -3.791277399999999886e+01 -3.791261500000000240e+01 -3.791261500000000240e+01 -1.096372000000000035e+01 -1.096372000000000035e+01 -1.027472400000000086e+01 -1.027472400000000086e+01 -6.080905999999999700e+00 -6.080905999999999700e+00 -5.553797999999999568e+00 -5.553797999999999568e+00 -4.537132999999999861e+00 -4.537132999999999861e+00 -4.045517000000000252e+00 -4.045517000000000252e+00 -3.861960999999999977e+00 -3.861960999999999977e+00 -3.725474000000000174e+00 -3.725474000000000174e+00 -2.514815000000000023e+00 -2.514815000000000023e+00 -2.422855000000000203e+00 -2.422855000000000203e+00 -2.356735000000000024e+00 -2.356735000000000024e+00 -2.308300000000000018e+00 -2.308300000000000018e+00 -2.272238000000000202e+00 -2.272238000000000202e+00 -2.233929999999999971e+00 -2.233929999999999971e+00 -1.630630999999999942e+00 -1.630630999999999942e+00 -1.312939000000000078e+00 -1.312939000000000078e+00 -1.249492000000000047e+00 -1.249492000000000047e+00 -1.239022000000000068e+00 -1.239022000000000068e+00 6.390949999999999687e-01 6.390949999999999687e-01 7.003939999999999610e-01 7.003939999999999610e-01 7.491149999999999753e-01 7.491149999999999753e-01 7.757089999999999819e-01 7.757089999999999819e-01 1.011794000000000082e+00 1.011794000000000082e+00 1.288524999999999920e+00 1.288524999999999920e+00 1.871248999999999940e+00 1.871248999999999940e+00 1.897669999999999968e+00 1.897669999999999968e+00 2.500040999999999958e+00 2.500040999999999958e+00 2.624328000000000216e+00 2.624328000000000216e+00
     2	-6.403980699999999615e+01 -6.403980699999999615e+01 -6.403959600000000307e+01 -6.403959600000000307e+01 -3.792057400000000200e+01 -3.792057400000000200e+01 -3.791954100000000238e+01 -3.791954100000000238e+01 -3.791483300000000156e+01 -3.791483300000000156e+01 -3.791282400000000052e+01 -3.791282400000000052e+01 -3.791271100000000160e+01 -3.791271100000000160e+01 -3.791255600000000214e+01 -3.791255600000000214e+01 -1.092866500000000052e+01 -1.092866500000000052e+01 -1.029125999999999941e+01 -1.029125999999999941e+01 -6.129313999999999929e+00 -6.129313999999999929e+00 -5.626430000000000042e+00 -5.626430000000000042e+00 -4.489893000000000356e+00 -4.489893000000000356e+00 -4.055380000000000429e+00 -4.055380000000000429e+00 -3.868278999999999801e+00 -3.868278999999999801e+00 -3.748228000000000115e+00 -3.748228000000000115e+00 -2.501650000000000151e+00 -2.501650000000000151e+00 -2.418198999999999987e+00 -2.418198999999999987e+00 -2.358918000000000070e+00 -2.358918000000000070e+00 -2.313654999999999795e+00 -2.313654999999999795e+00 -2.283526000000000167e+00 -2.283526000000000167e+00 -2.246847999999999956e+00 -2.246847999999999956e+00 -1.582999999999999963e+00 -1.582999999999999963e+00 -1.296556999999999960e+00 -1.296556999999999960e+00 -1.230642999999999931e+00 -1.230642999999999931e+00 -1.224723000000000006e+00 -1.224723000000000006e+00 6.554290000000000393e-01 6.554290000000000393e-01 7.045580000000000176e-01 7.045580000000000176e-01 7.577190000000000314e-01 7.577190000000000314e-01 7.880129999999999635e-01 7.880129999999999635e-01 1.008043999999999940e+00 1.008043999999999940e+00 1.261373000000000077e+00 1.261373000000000077e+00 1.938984000000000041e+00 1.938984000000000041e+00 1.988210000000000033e+00 1.988210000000000033e+00 2.557857999999999965e+00 2.557857999999999965e+00 2.657735000000000181e+00 2.657735999999999876e+00
     3	-6.403979999999999961e+01 -6.403979999999999961e+01 -6.403960800000000120e+01 -6.403960800000000120e+01 -3.792071099999999717e+01 -3.792071099999999717e+01 -3.791976799999999770e+01 -3.791976799999999770e+01 -3.791458800000000195e+01 -3.791458800000000195e+01 -3.791274599999999850e+01 -3.791274599999999850e+01 -3.791265200000000135e+01 -3.791265200000000135e+01 -3.791250500000000301e+01 -3.791250500000000301e+01 -1.089298400000000022e+01 -1.089298400000000022e+01 -1.030749100000000062e+01 -1.030749100000000062e+01 -6.175805000000000433e+00 -6.175805000000000433e+00 -5.701533999999999658e+00 -5.701533999999999658e+00 -4.443017000000000216e+00 -4.443017000000000216e+00 -4.061128000000000071e+00 -4.061128000000000071e+00 -3.875442000000000053e+00 -3.875442000000000053e+00 -3.770345999999999975e+00 -3.770345999999999975e+00 -2.489415999999999851e+00 -2.489415999999999851e+00 -2.414520000000000000e+00 -2.414520000000000000e+00 -2.361114999999999853e+00 -2.361114999999999853e+00 -2.319039000000000073e+00 -2.319039000000000073e+00 -2.293633999999999951e+00 -2.293633999999999951e+00 -2.259732000000000074e+00 -2.259732000000000074e+00 -1.535981999999999958e+00 -1.535981999999999958e+00 -1.279152000000000067e+00 -1.279152000000000067e+00 -1.212576000000000098e+00 -1.212576000000000098e+00 -1.210528000000000048e+00 -1.210528000000000048e+00 6.716029999999999500e-01 6.716029999999999500e-01 7.098170000000000313e-01 7.098170000000000313e-01 7.663950000000000484e-01 7.663950000000000484e-01 7.998739999999999739e-01 7.998739999999999739e-01 1.004083999999999977e+00 1.004083999999999977e+00 1.234907999999999895e+00 1.234907999999999895e+00 2.007156999999999858e+00 2.007156999999999858e+00 2.084280999999999828e+00 2.084280999999999828e+00 2.618072999999999873e+00 2.618072999999999873e+00 2.689894999999999925e+00 2.689894999999999925e+00
     4	-6.403979200000000560e+01 -6.403979200000000560e+01 -6.403961999999999932e+01 -6.403961999999999932e+01 -3.792084400000000244e+01 -3.792084400000000244e+01 -3.791999200000000059e+01 -3.791999200000000059e+01 -3.791433700000000329e+01 -3.791433700000000329e+01 -3.791268199999999666e+01 -3.791268199999999666e+01 -3.791258700000000204e+01 -3.791258700000000204e+01 -3.791246100000000041e+01 -3.791246100000000041e+01 -1.085688999999999993e+01 -1.085688999999999993e+01 -1.032331600000000016e+01 -1.032331600000000016e+01 -6.220229999999999926e+00 -6.220229999999999926e+00 -5.778157000000000210e+00 -5.778157000000000210e+00 -4.396848000000000312e+00 -4.396848000000000312e+00 -4.063322999999999574e+00 -4.063322999999999574e+00 -3.883214999999999861e+00 -3.883214999999999861e+00 -3.791717999999999922e+00 -3.791716999999999782e+00 -2.478127000000000191e+00 -2.478127000000000191e+00 -2.411649999999999849e+00 -2.411649999999999849e+00 -2.363303999999999849e+00 -2.363303999999999849e+00 -2.324424000000000046e+00 -2.324424000000000046e+00 -2.302785000000000082e+00 -2.302783999999999942e+00 -2.272438000000000180e+00 -2.272437000000000040e+00 -1.489867000000000052e+00 -1.489867000000000052e+00 -1.260974999999999957e+00 -1.260974999999999957e+00 -1.196487999999999996e+00 -1.196487999999999996e+00 -1.195367000000000068e+00 -1.195367000000000068e+00 6.876700000000000035e-01 6.876700000000000035e-01 7.161669999999999980e-01 7.161669999999999980e-01 7.750780000000000447e-01 7.750780000000000447e-01 8.111169999999999769e-01 8.111169999999999769e-01 1.000099999999999989e+00 1.000099999999999989e+00 1.209197999999999995e+00 1.209197999999999995e+00 2.076826000000000061e+00 2.076826000000000061e+00 2.184295999999999793e+00 2.184295999999999793e+00 2.680550999999999906e+00 2.680550999999999906e+00 2.720561000000000007e+00 2.720561000000000007e+00
     5	-6.403978399999999738e+01 -6.403978399999999738e+01 -6.403962699999999586e+01 -6.403962699999999586e+01 -3.792095900000000341e+01 -3.792095900000000341e+01 -3.792020699999999778e+01 -3.792020699999999778e+01 -3.791408799999999957e+01 -3.791408799999999957e+01 -3.791260499999999922e+01 -3.791260499999999922e+01 -3.791252899999999926e+01 -3.791252899999999926e+01 -3.791241000000000128e+01 -3.791241000000000128e+01 -1.082061999999999991e+01 -1.082061999999999991e+01 -1.033863900000000058e+01 -1.033863900000000058e+01 -6.262462000000000195e+00 -6.262462000000000195e+00 -5.855366000000000071e+00 -5.855366000000000071e+00 -4.351721000000000394e+00 -4.351721000000000394e+00 -4.062528999999999613e+00 -4.062528999999999613e+00 -3.891388000000000069e+00 -3.891388000000000069e+00 -3.812244000000000188e+00 -3.812244000000000188e+00 -2.467776999999999887e+00 -2.467776999999999887e+00 -2.409418000000000060e+00 -2.409418000000000060e+00 -2.365470000000000184e+00 -2.365470000000000184e+00 -2.329782999999999937e+00 -2.329782999999999937e+00 -2.311189999999999856e+00 -2.311189999999999856e+00 -2.284831000000000056e+00 -2.284831000000000056e+00 -1.444925000000000015e+00 -1.444925000000000015e+00 -1.242293000000000092e+00 -1.242293000000000092e+00 -1.182666999999999913e+00 -1.182666999999999913e+00 -1.179079999999999906e+00 -1.179079999999999906e+00 7.036599999999999522e-01 7.036599999999999522e-01 7.235800000000000010e-01 7.235800000000000010e-01 7.836899999999999977e-01 7.836899999999999977e-01 8.215670000000000472e-01 8.215670000000000472e-01 9.962739999999999929e-01 9.962739999999999929e-01 1.184320000000000039e+00 1.184320000000000039e+00 2.147984999999999811e+00 2.147984999999999811e+00 2.287647999999999904e+00 2.287647999999999904e+00 2.745127999999999791e+00 2.745127999999999791e+00 2.749460000000000015e+00 2.749460000000000015e+00
     6	-6.403977299999999673e+01 -6.403977299999999673e+01 -6.403963699999999903e+01 -6.403963699999999903e+01 -3.792108100000000093e+01 -3.792108100000000093e+01 -3.792040599999999984e+01 -3.792040599999999984e+01 -3.791385499999999809e+01 -3.791385499999999809e+01 -3.791253400000000084e+01 -3.791253400000000084e+01 -3.791246799999999695e+01 -3.791246799999999695e+01 -3.791236299999999915e+01 -3.791236299999999915e+01 -1.078442800000000013e+01 -1.078442800000000013e+01 -1.035337700000000005e+01 -1.035337700000000005e+01 -6.302392000000000216e+00 -6.302392000000000216e+00 -5.932266000000000261e+00 -5.932266000000000261e+00 -4.307958000000000176e+00 -4.307958000000000176e+00 -4.059281000000000361e+00 -4.059281000000000361e+00 -3.899773000000000156e+00 -3.899773000000000156e+00 -3.831831999999999905e+00 -3.831831999999999905e+00 -2.458340999999999887e+00 -2.458340999999999887e+00 -2.407659999999999911e+00 -2.407659999999999911e+00 -2.367592000000000141e+00 -2.367592000000000141e+00 -2.335087999999999830e+00 -2.335087999999999830e+00 -2.319030000000000147e+00 -2.319030000000000147e+00 -2.296788999999999970e+00 -2.296788999999999970e+00 -1.401400999999999897e+00 -1.401400999999999897e+00 -1.223381000000000052e+00 -1.223381000000000052e+00 -1.169143000000000043e+00 -1.169143000000000043e+00 -1.163761999999999963e+00 -1.163761999999999963e+00 7.195669999999999566e-01 7.195669999999999566e-01 7.320100000000000495e-01 7.320100000000000495e-01 7.921610000000000040e-01 7.921610000000000040e-01 8.310499999999999554e-01 8.310499999999999554e-01 9.927719999999999878e-01 9.927719999999999878e-01 1.160368999999999984e+00 1.160368999999999984e+00 2.220380000000000020e+00 2.220380000000000020e+00 2.393848000000000198e+00 2.393848000000000198e+00 2.776283999999999974e+00 2.776283999999999974e+00 2.811608999999999803e+00 2.811608999999999803e+00
     7	-6.403977199999999925e+01 -6.403977199999999925e+01 -6.403964000000000567e+01 -6.403964000000000567e+01 -3.792117100000000107e+01 -3.792117100000000107e+01 -3.792061100000000096e+01 -3.792061100000000096e+01 -3.791361799999999960e+01 -3.791361799999999960e+01 -3.791246000000000294e+01 -3.791246000000000294e+01 -3.791242700000000099e+01 -3.791242700000000099e+01 -3.791233900000000290e+01 -3.791233900000000290e+01 -1.074859400000000065e+01 -1.074859400000000065e+01 -1.036744999999999983e+01 -1.036744999999999983e+01 -6.339926000000000172e+00 -6.339926000000000172e+00 -6.008007000000000097e+00 -6.008007000000000097e+00 -4.265865999999999936e+00 -4.265865999999999936e+00 -4.054083999999999577e+00 -4.054083999999999577e+00 -3.908199000000000201e+00 -3.908199000000000201e+00 -3.850397000000000070e+00 -3.850397000000000070e+00 -2.449780000000000069e+00 -2.449780000000000069e+00 -2.406232999999999844e+00 -2.406232999999999844e+00 -2.369654999999999845e+00 -2.369654999999999845e+00 -2.340311999999999948e+00 -2.340311999999999948e+00 -2.326445000000000096e+00 -2.326445000000000096e+00 -2.308202999999999783e+00 -2.308202999999999783e+00 -1.359521999999999897e+00 -1.359521999999999897e+00 -1.204515000000000002e+00 -1.204515000000000002e+00 -1.156001999999999974e+00 -1.156001999999999974e+00 -1.149451999999999918e+00 -1.149451999999999918e+00 7.353549999999999809e-01 7.353549999999999809e-01 7.413899999999999935e-01 7.413899999999999935e-01 8.004130000000000411e-01 8.004130000000000411e-01 8.394040000000000390e-01 8.394040000000000390e-01 9.897559999999999691e-01 9.897559999999999691e-01 1.137448000000000015e+00 1.137448000000000015e+00 2.293623000000000189e+00 2.293623000000000189e+00 2.502390999999999810e+00 2.502391999999999950e+00 2.800702999999999943e+00 2.800702999999999943e+00 2.879754999999999843e+00 2.879754999999999843e+00
     8	-6.403976199999999608e+01 -6.403976199999999608e+01 -6.403965100000000632e+01 -6.403965100000000632e+01 -3.792128399999999999e+01 -3.792128399999999999e+01 -3.792078699999999714e+01 -3.792078699999999714e+01 -3.791341100000000353e+01 -3.791341100000000353e+01 -3.791239900000000063e+01 -3.791239900000000063e+01 -3.791237199999999774e+01 -3.791237199999999774e+01 -3.791229500000000030e+01 -3.791229500000000030e+01 -1.071340900000000040e+01 -1.071340900000000040e+01 -1.038078100000000070e+01 -1.038078100000000070e+01 -6.374976000000000198e+00 -6.374976000000000198e+00 -6.081787000000000276e+00 -6.081787000000000276e+00 -4.225735000000000241e+00 -4.225735000000000241e+00 -4.047405000000000364e+00 -4.047405000000000364e+00 -3.916517999999999944e+00 -3.916517999999999944e+00 -3.867862999999999829e+00 -3.867862999999999829e+00 -2.442053000000000029e+00 -2.442053000000000029e+00 -2.405022000000000215e+00 -2.405022000000000215e+00 -2.371637999999999913e+00 -2.371637999999999913e+00 -2.345429000000000208e+00 -2.345429000000000208e+00 -2.333527000000000129e+00 -2.333527000000000129e+00 -2.318976999999999844e+00 -2.318976999999999844e+00 -1.319504999999999928e+00 -1.319504999999999928e+00 -1.185966000000000076e+00 -1.185966000000000076e+00 -1.143334999999999990e+00 -1.143334999999999990e+00 -1.136176000000000075e+00 -1.136176000000000075e+00 7.509540000000000104e-01 7.509540000000000104e-01 7.516199999999999548e-01 7.516199999999999548e-01 8.083799999999999875e-01 8.083799999999999875e-01 8.464899999999999647e-01 8.464899999999999647e-01 9.873539999999999539e-01 9.873539999999999539e-01 1.115683999999999898e+00 1.115683999999999898e+00 2.367182999999999815e+00 2.367182999999999815e+00 2.612696999999999825e+00 2.612696999999999825e+00 2.822381000000000029e+00 2.822381000000000029e+00 2.949284000000000017e+00 2.949284000000000017e+00
     9	-6.403975499999999954e+01 -6.403975499999999954e+01 -6.403965800000000286e+01 -6.403965800000000286e+01 -3.792138599999999826e+01 -3.792138599999999826e+01 -3.792095799999999883e+01 -3.792095799999999883e+01 -3.791319800000000129e+01 -3.791319800000000129e+01 -3.791234000000000037e+01 -3.791234000000000037e+01 -3.791232300000000066e+01 -3.791232300000000066e+01 -3.791226000000000340e+01 -3.791226000000000340e+01 -1.067919900000000055e+01 -1.067919900000000055e+01 -1.039329500000000017e+01 -1.039329500000000017e+01 -6.407462999999999909e+00 -6.407462999999999909e+00 -6.152862999999999971e+00 -6.152862999999999971e+00 -4.187833999999999612e+00 -4.187833999999999612e+00 -4.039674999999999905e+00 -4.039674999999999905e+00 -3.924599000000000171e+00 -3.924599000000000171e+00 -3.884164000000000172e+00 -3.884164000000000172e+00 -2.435105000000000075e+00 -2.435105000000000075e+00 -2.403941999999999801e+00 -2.403941999999999801e+00 -2.373527000000000164e+00 -2.373527000000000164e+00 -2.350410000000000110e+00 -2.350410000000000110e+00 -2.340330999999999939e+00 -2.340330999999999939e+00 -2.329028000000000098e+00 -2.329028000000000098e+00 -1.281560999999999950e+00 -1.281560999999999950e+00 -1.167990000000000084e+00 -1.167990000000000084e+00 -1.131240999999999941e+00 -1.131240999999999941e+00 -1.123957000000000095e+00 -1.123957000000000095e+00 7.625779999999999781e-01 7.625779999999999781e-01 7.662409999999999499e-01 7.662409999999999499e-01 8.159889999999999644e-01 8.159889999999999644e-01 8.522250000000000103e-01 8.522250000000000103e-01 9.856519999999999726e-01 9.856519999999999726e-01 1.095202999999999927e+00 1.095202999999999927e+00 2.440351999999999855e+00 2.440351999999999855e+00 2.724086999999999925e+00 2.724086999999999925e+00 2.840993000000000102e+00 2.840993000000000102e+00 3.019833999999999907e+00 3.019833999999999907e+00
    10	-6.403974700000000553e+01 -6.403974700000000553e+01 -6.403966599999999687e+01 -6.403966599999999687e+01 -3.792147400000000346e+01 -3.792147400000000346e+01 -3.792112300000000147e+01 -3.792112300000000147e+01 -3.791301500000000146e+01 -3.791301500000000146e+01 -3.791228799999999666e+01 -3.791228799999999666e+01 -3.791227700000000311e+01 -3.791227700000000311e+01 -3.791221800000000286e+01 -3.791221800000000286e+01 -1.064628800000000020e+01 -1.064628800000000020e+01 -1.040493099999999949e+01 -1.040493099999999949e+01 -6.437324000000000268e+00 -6.437324000000000268e+00 -6.220507999999999704e+00 -6.220507999999999704e+00 -4.152413000000000132e+00 -4.152413000000000132e+00 -4.031283000000000172e+00 -4.031283000000000172e+00 -3.932322999999999791e+00 -3.932322999999999791e+00 -3.899237999999999982e+00 -3.899237999999999982e+00 -2.428882999999999903e+00 -2.428882999999999903e+00 -2.402938999999999936e+00 -2.402938999999999936e+00 -2.375305000000000000e+00 -2.375305000000000000e+00 -2.355226000000000042e+00 -2.355226000000000042e+00 -2.346868000000000176e+00 -2.346868000000000176e+00 -2.338289000000000062e+00 -2.338289000000000062e+00 -1.245900000000000007e+00 -1.245900000000000007e+00 -1.150827999999999962e+00 -1.150827999999999962e+00 -1.119812999999999947e+00 -1.119812999999999947e+00 -1.112803999999999904e+00 -1.112803999999999904e+00 7.741080000000000183e-01 7.741080000000000183e-01 7.810650000000000093e-01 7.810650000000000093e-01 8.231749999999999901e-01 8.231749999999999901e-01 8.565909999999999913e-01 8.565909999999999913e-01 9.846660000000000412e-01 9.846660000000000412e-01 1.076154000000000055e+00 1.076154000000000055e+00 2.512185999999999808e+00 2.512185999999999808e+00 2.835748999999999853e+00 2.835749999999999993e+00 2.856262000000000079e+00 2.856262000000000079e+00 3.090971000000000135e+00 3.090971000000000135e+00
