     1	-6.520525999999999556e+01 -6.520525999999999556e+01 -6.520504400000000089e+01 -6.520504400000000089e+01 -3.907283999999999935e+01 -3.907283999999999935e+01 -3.907182699999999897e+01 -3.907182699999999897e+01 -3.906801899999999961e+01 -3.906801899999999961e+01 -3.906605400000000117e+01 -3.906605400000000117e+01 -3.906593500000000319e+01 -3.906593500000000319e+01 -3.906579200000000185e+01 -3.906579200000000185e+01 -1.096540199999999921e+01 -1.096540199999999921e+01 -1.026077899999999943e+01 -1.026077899999999943e+01 -6.193304999999999616e+00 -6.193304999999999616e+00 -5.647517999999999816e+00 -5.647517999999999816e+00 -4.635857999999999812e+00 -4.635857999999999812e+00 -4.158934999999999604e+00 -4.158934999999999604e+00 -3.994210999999999956e+00 -3.994210999999999956e+00 -3.802064000000000110e+00 -3.802064000000000110e+00 -2.500197000000000003e+00 -2.500197000000000003e+00 -2.476484000000000130e+00 -2.476484000000000130e+00 -2.371112000000000108e+00 -2.371112000000000108e+00 -2.298710999999999949e+00 -2.298710999999999949e+00 -2.252873000000000125e+00 -2.252873000000000125e+00 -2.228937999999999864e+00 -2.228937999999999864e+00 -1.637559999999999905e+00 -1.637559999999999905e+00 -1.591946000000000083e+00 -1.591946000000000083e+00 -1.469419999999999948e+00 -1.469419999999999948e+00 -1.436417999999999973e+00 -1.436417999999999973e+00 -1.371469999999999911e-01 -1.371469999999999911e-01 -9.147500000000000075e-02 -9.147500000000000075e-02 6.289300000000000446e-02 6.289300000000000446e-02 7.572299999999999864e-02 7.572299999999999864e-02 2.491220000000000101e-01 2.491220000000000101e-01 6.694999999999999840e-01 6.694999999999999840e-01 1.094400999999999957e+00 1.094400999999999957e+00 1.268175000000000052e+00 1.268175000000000052e+00 1.976757000000000097e+00 1.976757000000000097e+00 2.079292000000000140e+00 2.079292000000000140e+00
     2	-6.520525200000000154e+01 -6.520525200000000154e+01 -6.520505500000000154e+01 -6.520505500000000154e+01 -3.907296900000000051e+01 -3.907296900000000051e+01 -3.907203200000000010e+01 -3.907203200000000010e+01 -3.906780200000000036e+01 -3.906780200000000036e+01 -3.906597500000000167e+01 -3.906597500000000167e+01 -3.906587799999999788e+01 -3.906587799999999788e+01 -3.906573999999999813e+01 -3.906573999999999813e+01 -1.092910999999999966e+01 -1.092910999999999966e+01 -1.027663300000000035e+01 -1.027663300000000035e+01 -6.243513000000000090e+00 -6.243513000000000090e+00 -5.721897000000000233e+00 -5.721897000000000233e+00 -4.592323999999999629e+00 -4.592323999999999629e+00 -4.172977999999999632e+00 -4.172977999999999632e+00 -4.000464000000000020e+00 -4.000464000000000020e+00 -3.832038999999999973e+00 -3.832038999999999973e+00 -2.486803999999999792e+00 -2.486803999999999792e+00 -2.471401000000000181e+00 -2.471401000000000181e+00 -2.373460999999999821e+00 -2.373460999999999821e+00 -2.307008000000000170e+00 -2.307008000000000170e+00 -2.260365999999999875e+00 -2.260365999999999875e+00 -2.244114000000000164e+00 -2.244114000000000164e+00 -1.597957000000000072e+00 -1.597957000000000072e+00 -1.563471000000000055e+00 -1.563471000000000055e+00 -1.441785000000000094e+00 -1.441785000000000094e+00 -1.422417000000000042e+00 -1.422417000000000042e+00 -1.313310000000000033e-01 -1.313310000000000033e-01 -8.163800000000000223e-02 -8.163800000000000223e-02 6.295199999999999407e-02 6.295199999999999407e-02 7.289299999999999946e-02 7.289299999999999946e-02 2.489860000000000129e-01 2.489860000000000129e-01 6.334990000000000343e-01 6.334990000000000343e-01 1.178201000000000054e+00 1.178201000000000054e+00 1.371717000000000075e+00 1.371717000000000075e+00 2.031714000000000020e+00 2.031714000000000020e+00 2.125351999999999908e+00 2.125351999999999908e+00
     3	-6.520524500000000501e+01 -6.520524500000000501e+01 -6.520506600000000219e+01 -6.520506600000000219e+01 -3.907309200000000260e+01 -3.907309200000000260e+01 -3.907223700000000122e+01 -3.907223700000000122e+01 -3.906757999999999953e+01 -3.906757999999999953e+01 -3.906590500000000077e+01 -3.906590500000000077e+01 -3.906582399999999922e+01 -3.906582399999999922e+01 -3.906569400000000059e+01 -3.906569400000000059e+01 -1.089212500000000006e+01 -1.089212500000000006e+01 -1.029220199999999963e+01 -1.029220199999999963e+01 -6.291641000000000261e+00 -6.291641000000000261e+00 -5.798998000000000097e+00 -5.798998000000000097e+00 -4.549140999999999657e+00 -4.549140999999999657e+00 -4.182290000000000063e+00 -4.182290000000000063e+00 -4.007836000000000176e+00 -4.007836000000000176e+00 -3.860904000000000114e+00 -3.860904000000000114e+00 -2.474339000000000066e+00 -2.474339000000000066e+00 -2.466159999999999908e+00 -2.466159999999999908e+00 -2.375922999999999785e+00 -2.375922999999999785e+00 -2.315221000000000195e+00 -2.315221000000000195e+00 -2.268727000000000160e+00 -2.268727000000000160e+00 -2.259376000000000051e+00 -2.259376000000000051e+00 -1.559056999999999915e+00 -1.559056999999999915e+00 -1.534443999999999919e+00 -1.534443999999999919e+00 -1.415445000000000064e+00 -1.415445000000000064e+00 -1.407141999999999893e+00 -1.407141999999999893e+00 -1.243520000000000042e-01 -1.243520000000000042e-01 -7.179299999999999571e-02 -7.179299999999999571e-02 6.261400000000000299e-02 6.261400000000000299e-02 6.997000000000000441e-02 6.997000000000000441e-02 2.488319999999999976e-01 2.488319999999999976e-01 5.981729999999999547e-01 5.981729999999999547e-01 1.264572999999999947e+00 1.264572999999999947e+00 1.478636000000000061e+00 1.478636000000000061e+00 2.089131000000000071e+00 2.089131000000000071e+00 2.171295999999999893e+00 2.171295999999999893e+00
     4	-6.520523799999999426e+01 -6.520523799999999426e+01 -6.520507700000000284e+01 -6.520507700000000284e+01 -3.907321100000000058e+01 -3.907321100000000058e+01 -3.907243900000000281e+01 -3.907243900000000281e+01 -3.906735100000000216e+01 -3.906735100000000216e+01 -3.906584800000000257e+01 -3.906584800000000257e+01 -3.906576499999999896e+01 -3.906576499999999896e+01 -3.906565400000000210e+01 -3.906565400000000210e+01 -1.085466500000000067e+01 -1.085466500000000067e+01 -1.030738900000000058e+01 -1.030738900000000058e+01 -6.337557000000000329e+00 -6.337557000000000329e+00 -5.877803000000000111e+00 -5.877803000000000111e+00 -4.506618999999999708e+00 -4.506618999999999708e+00 -4.187541000000000402e+00 -4.187541000000000402e+00 -4.016040000000000276e+00 -4.016040000000000276e+00 -3.888557000000000041e+00 -3.888557000000000041e+00 -2.462845999999999869e+00 -2.462845999999999869e+00 -2.460716000000000125e+00 -2.460716000000000125e+00 -2.378455000000000208e+00 -2.378455000000000208e+00 -2.323316000000000159e+00 -2.323316000000000159e+00 -2.277858999999999856e+00 -2.277858999999999856e+00 -2.274504999999999999e+00 -2.274504999999999999e+00 -1.521152000000000060e+00 -1.521152000000000060e+00 -1.505112000000000005e+00 -1.505112000000000005e+00 -1.390903000000000000e+00 -1.390903000000000000e+00 -1.390492999999999979e+00 -1.390492999999999979e+00 -1.162809999999999955e-01 -1.162809999999999955e-01 -6.201000000000000262e-02 -6.201000000000000262e-02 6.186400000000000232e-02 6.186400000000000232e-02 6.700100000000000500e-02 6.700100000000000500e-02 2.487570000000000059e-01 2.487570000000000059e-01 5.636740000000000084e-01 5.636740000000000084e-01 1.353437000000000001e+00 1.353437000000000001e+00 1.588505000000000056e+00 1.588505000000000056e+00 2.148846999999999952e+00 2.148846999999999952e+00 2.217011999999999983e+00 2.217013000000000122e+00
     5	-6.520523099999999772e+01 -6.520523000000000025e+01 -6.520508499999999685e+01 -6.520508499999999685e+01 -3.907331500000000091e+01 -3.907331500000000091e+01 -3.907263199999999870e+01 -3.907263199999999870e+01 -3.906712499999999721e+01 -3.906712499999999721e+01 -3.906577800000000167e+01 -3.906577800000000167e+01 -3.906571300000000235e+01 -3.906571300000000235e+01 -3.906560799999999745e+01 -3.906560799999999745e+01 -1.081696999999999953e+01 -1.081696999999999953e+01 -1.032210199999999922e+01 -1.032210199999999922e+01 -6.381146000000000207e+00 -6.381146000000000207e+00 -5.957321999999999562e+00 -5.957321999999999562e+00 -4.465061000000000391e+00 -4.465061000000000391e+00 -4.189385999999999832e+00 -4.189385999999999832e+00 -4.024816000000000393e+00 -4.024816000000000393e+00 -3.914912000000000170e+00 -3.914912000000000170e+00 -2.455060000000000020e+00 -2.455060000000000020e+00 -2.452335999999999849e+00 -2.452335999999999849e+00 -2.381019000000000219e+00 -2.381019000000000219e+00 -2.331256000000000217e+00 -2.331256000000000217e+00 -2.289305000000000145e+00 -2.289305000000000145e+00 -2.287634999999999863e+00 -2.287634999999999863e+00 -1.484518000000000004e+00 -1.484518000000000004e+00 -1.475730999999999904e+00 -1.475730999999999904e+00 -1.373998999999999970e+00 -1.373998999999999970e+00 -1.367002000000000050e+00 -1.367002000000000050e+00 -1.072059999999999957e-01 -1.072059999999999957e-01 -5.237100000000000088e-02 -5.237100000000000088e-02 6.070400000000000101e-02 6.070400000000000101e-02 6.403000000000000358e-02 6.403000000000000358e-02 2.488229999999999886e-01 2.488229999999999886e-01 5.301580000000000181e-01 5.301580000000000181e-01 1.444715999999999889e+00 1.444717000000000029e+00 1.700836000000000015e+00 1.700836000000000015e+00 2.210650999999999922e+00 2.210650999999999922e+00 2.262407000000000057e+00 2.262407000000000057e+00
     6	-6.520522200000000623e+01 -6.520522200000000623e+01 -6.520509500000000003e+01 -6.520509500000000003e+01 -3.907342400000000282e+01 -3.907342400000000282e+01 -3.907281199999999899e+01 -3.907281199999999899e+01 -3.906691500000000161e+01 -3.906691500000000161e+01 -3.906571399999999983e+01 -3.906571399999999983e+01 -3.906565700000000163e+01 -3.906565700000000163e+01 -3.906556499999999943e+01 -3.906556499999999943e+01 -1.077930100000000024e+01 -1.077930100000000024e+01 -1.033625800000000083e+01 -1.033625800000000083e+01 -6.422306999999999988e+00 -6.422306999999999988e+00 -6.036607000000000056e+00 -6.036607000000000056e+00 -4.424760000000000026e+00 -4.424760000000000026e+00 -4.188437000000000410e+00 -4.188437000000000410e+00 -4.033928999999999654e+00 -4.033928999999999654e+00 -3.939885999999999999e+00 -3.939885999999999999e+00 -2.449211000000000027e+00 -2.449211000000000027e+00 -2.442797999999999803e+00 -2.442797000000000107e+00 -2.383579999999999810e+00 -2.383579999999999810e+00 -2.339004000000000083e+00 -2.339004000000000083e+00 -2.303602999999999845e+00 -2.303602999999999845e+00 -2.297905999999999782e+00 -2.297905999999999782e+00 -1.449411000000000005e+00 -1.449411000000000005e+00 -1.446565000000000101e+00 -1.446565000000000101e+00 -1.356716999999999951e+00 -1.356716999999999951e+00 -1.345020000000000104e+00 -1.345020000000000104e+00 -9.722999999999999698e-02 -9.722999999999999698e-02 -4.294900000000000106e-02 -4.294900000000000106e-02 5.914799999999999919e-02 5.914799999999999919e-02 6.108500000000000041e-02 6.108500000000000041e-02 2.490529999999999966e-01 2.490529999999999966e-01 4.977920000000000122e-01 4.977920000000000122e-01 1.538319999999999910e+00 1.538319999999999910e+00 1.815069999999999961e+00 1.815069999999999961e+00 2.274296999999999791e+00 2.274296999999999791e+00 2.307396999999999920e+00 2.307396999999999920e+00
     7	-6.520521899999999960e+01 -6.520521899999999960e+01 -6.520509800000000666e+01 -6.520509800000000666e+01 -3.907350300000000232e+01 -3.907350300000000232e+01 -3.907299799999999834e+01 -3.907299799999999834e+01 -3.906669899999999984e+01 -3.906669899999999984e+01 -3.906564699999999846e+01 -3.906564699999999846e+01 -3.906561899999999810e+01 -3.906561899999999810e+01 -3.906554299999999813e+01 -3.906554299999999813e+01 -1.074194899999999997e+01 -1.074194899999999997e+01 -1.034978100000000012e+01 -1.034978100000000012e+01 -6.460957999999999757e+00 -6.460956999999999617e+00 -6.114768999999999899e+00 -6.114768999999999899e+00 -4.385993000000000031e+00 -4.385993000000000031e+00 -4.185260999999999676e+00 -4.185260999999999676e+00 -4.043171000000000070e+00 -4.043171000000000070e+00 -3.963407999999999820e+00 -3.963407999999999820e+00 -2.443214000000000219e+00 -2.443214000000000219e+00 -2.434197999999999862e+00 -2.434197999999999862e+00 -2.386105000000000143e+00 -2.386105000000000143e+00 -2.346516999999999964e+00 -2.346516999999999964e+00 -2.317250000000000032e+00 -2.317250000000000032e+00 -2.308505999999999947e+00 -2.308505999999999947e+00 -1.417877999999999972e+00 -1.417877999999999972e+00 -1.416063000000000072e+00 -1.416063000000000072e+00 -1.339325000000000099e+00 -1.339325000000000099e+00 -1.324583999999999984e+00 -1.324583999999999984e+00 -8.646900000000000419e-02 -8.646900000000000419e-02 -3.382399999999999990e-02 -3.382399999999999990e-02 5.723199999999999815e-02 5.723199999999999815e-02 5.818700000000000261e-02 5.818700000000000261e-02 2.494530000000000081e-01 2.494530000000000081e-01 4.667410000000000170e-01 4.667410000000000170e-01 1.634141000000000066e+00 1.634141000000000066e+00 1.930571999999999955e+00 1.930571999999999955e+00 2.339478000000000169e+00 2.339478000000000169e+00 2.351917999999999953e+00 2.351917999999999953e+00
     8	-6.520521100000000558e+01 -6.520521100000000558e+01 -6.520510799999999563e+01 -6.520510799999999563e+01 -3.907360500000000059e+01 -3.907360500000000059e+01 -3.907315599999999733e+01 -3.907315599999999733e+01 -3.906651099999999843e+01 -3.906651099999999843e+01 -3.906559200000000232e+01 -3.906559200000000232e+01 -3.906556900000000354e+01 -3.906556900000000354e+01 -3.906550200000000217e+01 -3.906550200000000217e+01 -1.070521399999999979e+01 -1.070521399999999979e+01 -1.036259699999999917e+01 -1.036259699999999917e+01 -6.497016000000000346e+00 -6.497016000000000346e+00 -6.190966999999999665e+00 -6.190966999999999665e+00 -4.349024000000000001e+00 -4.349024000000000001e+00 -4.180373000000000339e+00 -4.180373000000000339e+00 -4.052359000000000044e+00 -4.052359000000000044e+00 -3.985411000000000037e+00 -3.985411000000000037e+00 -2.437129999999999797e+00 -2.437129999999999797e+00 -2.426505999999999830e+00 -2.426505999999999830e+00 -2.388561999999999852e+00 -2.388561999999999852e+00 -2.353753999999999902e+00 -2.353753999999999902e+00 -2.330122999999999944e+00 -2.330122999999999944e+00 -2.319259999999999877e+00 -2.319259999999999877e+00 -1.389931000000000028e+00 -1.389931000000000028e+00 -1.384681000000000051e+00 -1.384681000000000051e+00 -1.322079000000000004e+00 -1.322079000000000004e+00 -1.305711999999999984e+00 -1.305711999999999984e+00 -7.506599999999999384e-02 -7.506599999999999384e-02 -2.506200000000000094e-02 -2.506200000000000094e-02 5.500100000000000128e-02 5.500100000000000128e-02 5.535400000000000043e-02 5.535400000000000043e-02 2.499939999999999940e-01 2.499939999999999940e-01 4.371889999999999943e-01 4.371889999999999943e-01 1.732037000000000049e+00 1.732037000000000049e+00 2.046599000000000057e+00 2.046599000000000057e+00 2.395922999999999803e+00 2.395922999999999803e+00 2.405829000000000217e+00 2.405829000000000217e+00
     9	-6.520520399999999483e+01 -6.520520399999999483e+01 -6.520511500000000638e+01 -6.520511500000000638e+01 -3.907369599999999821e+01 -3.907369599999999821e+01 -3.907330999999999932e+01 -3.907330999999999932e+01 -3.906631800000000254e+01 -3.906631800000000254e+01 -3.906553900000000112e+01 -3.906553900000000112e+01 -3.906552500000000094e+01 -3.906552500000000094e+01 -3.906546900000000022e+01 -3.906546900000000022e+01 -1.066943700000000028e+01 -1.066943700000000028e+01 -1.037463100000000082e+01 -1.037463100000000082e+01 -6.530410999999999966e+00 -6.530410999999999966e+00 -6.264429999999999943e+00 -6.264429999999999943e+00 -4.314098000000000432e+00 -4.314098000000000432e+00 -4.174237999999999893e+00 -4.174237999999999893e+00 -4.061328999999999745e+00 -4.061328999999999745e+00 -4.005842000000000347e+00 -4.005842000000000347e+00 -2.431041000000000007e+00 -2.431041000000000007e+00 -2.419672999999999963e+00 -2.419672999999999963e+00 -2.390924000000000049e+00 -2.390924000000000049e+00 -2.360667999999999989e+00 -2.360667999999999989e+00 -2.342117000000000004e+00 -2.342117000000000004e+00 -2.329988999999999866e+00 -2.329988999999999866e+00 -1.362989999999999924e+00 -1.362989999999999924e+00 -1.355440999999999896e+00 -1.355440999999999896e+00 -1.305217000000000072e+00 -1.305217000000000072e+00 -1.288415000000000088e+00 -1.288415000000000088e+00 -6.318100000000000105e-02 -6.318100000000000105e-02 -1.673699999999999841e-02 -1.673699999999999841e-02 5.252400000000000124e-02 5.252400000000000124e-02 5.258299999999999780e-02 5.258299999999999780e-02 2.506410000000000027e-01 2.506410000000000027e-01 4.093089999999999784e-01 4.093089999999999784e-01 1.831827000000000094e+00 1.831827000000000094e+00 2.162294000000000160e+00 2.162294000000000160e+00 2.439381000000000022e+00 2.439381000000000022e+00 2.472894000000000148e+00 2.472894000000000148e+00
    10	-6.520519699999999830e+01 -6.520519699999999830e+01 -6.520512300000000039e+01 -6.520512300000000039e+01 -3.907377499999999770e+01 -3.907377499999999770e+01 -3.907345800000000224e+01 -3.907345800000000224e+01 -3.906615299999999991e+01 -3.906615200000000243e+01 -3.906549199999999900e+01 -3.906549199999999900e+01 -3.906548300000000040e+01 -3.906548300000000040e+01 -3.906543099999999669e+01 -3.906543099999999669e+01 -1.063496100000000055e+01 -1.063496100000000055e+01 -1.038582500000000053e+01 -1.038582500000000053e+01 -6.561084000000000138e+00 -6.561084000000000138e+00 -6.334397000000000055e+00 -6.334397000000000055e+00 -4.281444999999999723e+00 -4.281444999999999723e+00 -4.167271999999999643e+00 -4.167271999999999643e+00 -4.069938999999999751e+00 -4.069938999999999751e+00 -4.024650000000000283e+00 -4.024650000000000283e+00 -2.425044000000000199e+00 -2.425044000000000199e+00 -2.413661999999999974e+00 -2.413661999999999974e+00 -2.393165000000000209e+00 -2.393165000000000209e+00 -2.367204999999999782e+00 -2.367204999999999782e+00 -2.353150999999999993e+00 -2.353150999999999993e+00 -2.340508999999999951e+00 -2.340508999999999951e+00 -1.337312000000000056e+00 -1.337312000000000056e+00 -1.328491000000000088e+00 -1.328491000000000088e+00 -1.288963000000000081e+00 -1.288963000000000081e+00 -1.272691000000000017e+00 -1.272691000000000017e+00 -5.100099999999999772e-02 -5.100099999999999772e-02 -8.913000000000000783e-03 -8.913000000000000783e-03 4.987300000000000066e-02 4.987300000000000066e-02 4.987500000000000266e-02 4.987500000000000266e-02 2.513409999999999811e-01 2.513409999999999811e-01 3.832880000000000176e-01 3.832880000000000176e-01 1.933264000000000093e+00 1.933264000000000093e+00 2.276653000000000038e+00 2.276653000000000038e+00 2.482275000000000009e+00 2.482275000000000009e+00 2.540131999999999834e+00 2.540131999999999834e+00
