10.09000          -362202.3729519
10.09091          -362202.3755693
10.09182          -362202.3781463
10.09273          -362202.3806827
10.09364          -362202.3831787
10.09455          -362202.3856343
10.09545          -362202.3880496
10.09636          -362202.3904245
10.09727          -362202.3927590
10.09818          -362202.3950534
10.09909          -362202.3973075
10.10000          -362202.3995214
10.10091          -362202.4016951
10.10182          -362202.4038287
10.10273          -362202.4059222
10.10364          -362202.4079757
10.10455          -362202.4099892
10.10545          -362202.4119627
10.10636          -362202.4138962
10.10727          -362202.4157899
10.10818          -362202.4176436
10.10909          -362202.4194576
10.11000          -362202.4212317
10.11091          -362202.4229661
10.11182          -362202.4246607
10.11273          -362202.4263157
10.11364          -362202.4279309
10.11455          -362202.4295066
10.11545          -362202.4310427
10.11636          -362202.4325392
10.11727          -362202.4339962
10.11818          -362202.4354137
10.11909          -362202.4367918
10.12000          -362202.4381305
10.12091          -362202.4394297
10.12182          -362202.4406897
10.12273          -362202.4419103
10.12364          -362202.4430917
10.12455          -362202.4442338
10.12545          -362202.4453367
10.12636          -362202.4464005
10.12727          -362202.4474251
10.12818          -362202.4484106
10.12909          -362202.4493571
10.13000          -362202.4502645
10.13091          -362202.4511329
10.13182          -362202.4519624
10.13273          -362202.4527530
10.13364          -362202.4535046
10.13455          -362202.4542174
10.13545          -362202.4548914
10.13636          -362202.4555266
10.13727          -362202.4561230
10.13818          -362202.4566808
10.13909          -362202.4571998
10.14000          -362202.4576802
10.14091          -362202.4581219
10.14182          -362202.4585251
10.14273          -362202.4588898
10.14364          -362202.4592159
10.14455          -362202.4595035
10.14545          -362202.4597527
10.14636          -362202.4599635
10.14727          -362202.4601359
10.14818          -362202.4602700
10.14909          -362202.4603657
10.15000          -362202.4604232
10.15091          -362202.4604424
10.15182          -362202.4604235
10.15273          -362202.4603663
10.15364          -362202.4602710
10.15455          -362202.4601376
10.15545          -362202.4599661
10.15636          -362202.4597566
10.15727          -362202.4595090
10.15818          -362202.4592235
10.15909          -362202.4589001
10.16000          -362202.4585387
10.16091          -362202.4581395
10.16182          -362202.4577024
10.16273          -362202.4572275
10.16364          -362202.4567149
10.16455          -362202.4561644
10.16545          -362202.4555763
10.16636          -362202.4549505
10.16727          -362202.4542871
10.16818          -362202.4535861
10.16909          -362202.4528474
10.17000          -362202.4520713
10.17091          -362202.4512576
10.17182          -362202.4504064
10.17273          -362202.4495178
10.17364          -362202.4485918
10.17455          -362202.4476284
10.17545          -362202.4466277
10.17636          -362202.4455896
10.17727          -362202.4445143
10.17818          -362202.4434017
10.17909          -362202.4422519
10.18000          -362202.4410649
